scenario,label,variant,year,formal_collection_t,informal_collection_t,mixed_collection_t,uncollected_t,closed_loop_mr_t,open_loop_mr_t,chemical_p2p_t,chemical_p2f_t,engineered_landfill_t,thermal_treatment_t,unsanitary_dumpsite_t,uncollected_to_burn_t,uncollected_to_land_t,uncollected_to_water_t,post_collection_mismanaged_t,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t
BAU,Business-as-Usual,LOWER,2032,308859.109313613,523538.24861522217,579846.9342745689,1599122.49023817,80641.3808105523,252812.34257955523,0.0,0.0,0.0,0.0,101741.619026403,615697.604421333,166971.875908165,215829.939084016,549980.827197915,261234.0624939319,153119.403860349,675320.0419622157,1089673.5083164966
BAU,Business-as-Usual,LOWER,2033,311476.389608169,532049.8302483095,584519.999902081,1693515.11908823,81836.1946385107,256684.49552379648,0.0,0.0,0.0,0.0,102304.019616618,648865.724520937,179781.847852497,228004.335006638,554167.1679881859,274316.8899409404,164883.697219989,709128.5720614728,1148329.1592224021
BAU,Business-as-Usual,LOWER,2034,314046.539402774,540471.4661216955,589107.371107827,1788649.53681523,83017.6328681829,260514.30887816934,0.0,0.0,0.0,0.0,102852.69750344,682303.442049994,192660.598049916,240271.608069764,558274.7670657838,287492.5766697927,176711.428682191,743198.0916345924,1207402.096986576
BAU,Business-as-Usual,LOWER,2035,316561.910936839,548777.804619459,593593.2941388111,1884368.80640337,84181.9115511938,264289.8490310449,0.0,0.0,0.0,0.0,103396.800048472,715953.922095099,205586.737116039,252610.985114986,562333.0507881248,300737.8377150682,188582.603744292,777469.1482385607,1266789.5896979207
BAU,Business-as-Usual,LOWER,2036,319281.909995972,557400.2951682495,598462.907837354,1982103.70735117,85395.4889703809,268219.27374819084,0.0,0.0,0.0,0.0,104008.688801238,749681.851274181,218712.871666388,265214.497640559,566751.9911876488,314281.5893236,200636.721033191,811855.4289002271,1326773.739257018
BAU,Business-as-Usual,LOWER,2037,321982.589495178,565831.6180486411,603301.604704665,2080397.72231955,86597.1624562117,272006.6923937697,0.0,0.0,0.0,0.0,104618.92393932,783590.303962454,231878.851377635,277888.774805365,571145.3194126377,327898.89146523067,212727.737358444,846417.433371742,1387044.0621954165
BAU,Business-as-Usual,LOWER,2038,324679.063996204,574183.0925782502,608136.7239726391,2179185.13879791,87788.2458543508,275760.6197691099,0.0,0.0,0.0,0.0,105232.329557591,817685.310833827,245072.90975378,290625.528080791,575536.2365471702,341581.6130324779,224844.402695241,881162.7344900419,1447588.750217761
BAU,Business-as-Usual,LOWER,2039,327596.571256722,582832.586312805,613389.603301507,2279852.4343564,89026.6809811336,279663.951765798,0.0,0.0,0.0,0.0,105922.110144469,852489.472337694,258448.603381268,303609.96313428,580321.2184955609,355548.5764693661,237127.141208611,916656.6040823858,1509332.321760363
BAU,Business-as-Usual,LOWER,2040,330536.954894218,591420.5873627628,618693.46619631,2380972.71306949,90258.0483048151,283545.4806433719,0.0,0.0,0.0,0.0,106627.075687929,887473.364500821,271844.25757733,316653.358526288,585158.9251774075,369582.23729878943,249428.495143049,952331.8645398847,1571342.596981723
BAU,Business-as-Usual,LOWER,2041,333744.029688897,600364.0959793293,624501.901696296,2484203.09273925,91545.9966374979,287605.63131020067,0.0,0.0,0.0,0.0,107424.596790971,923254.498116275,285446.47122306,329975.602042775,590472.860326801,383938.32312282966,261918.68782611,988851.8387025583,1634708.849651498
BAU,Business-as-Usual,LOWER,2042,337025.096147547,609305.0089605057,630458.9912253721,2588051.34334438,92836.5252810775,291674.5019249816,0.0,0.0,0.0,0.0,108255.887462733,959282.486213806,299084.639032907,343379.985030101,595893.2485995619,398391.8816831393,274442.183016715,1025629.2252560137,1698463.289955868
BAU,Business-as-Usual,LOWER,2043,340581.738553855,618581.840667705,636939.894707574,2693921.06411624,94181.3906317202,295915.18567624653,0.0,0.0,0.0,0.0,109185.136769652,996078.330137326,312918.387558693,357052.534464138,601790.7884131861,413158.73815716384,287144.51109443,1063222.5941808745,1763525.8434324684
BAU,Business-as-Usual,LOWER,2044,344422.329014015,628200.6429707173,643962.624685136,2801869.29173994,95581.8433760694,300331.56441758503,0.0,0.0,0.0,0.0,110216.707887126,1033664.3783449,326955.031359054,371001.414422867,608206.6265430915,428249.9403171886,300032.829415401,1101656.2293219117,1829938.9990545013
BAU,Business-as-Usual,UPPER,2020,475808.825832185,891457.4318481871,984908.832896409,813106.946865587,125906.439257698,390510.5421537249,0.0,0.0,0.0,0.0,220620.586115516,523906.981089378,345913.642719042,210457.568531092,856032.886305815,343873.65699802234,299193.357708311,714504.558481463,1357571.5731877964
BAU,Business-as-Usual,UPPER,2021,467866.809969312,882371.3810763551,969583.231561162,872937.416535404,124745.059518146,392565.8009879833,0.0,0.0,0.0,0.0,217559.96029504,558473.381031411,374212.255059509,227590.1076592,850092.2492025516,364930.5610162225,324197.001360266,749023.334862483,1438150.8972389714
BAU,Business-as-Usual,UPPER,2022,488705.159417302,926746.2799775408,1012722.930222864,989416.655376488,131094.284358019,406686.87188883865,0.0,0.0,0.0,0.0,226111.279599233,628956.427774553,426618.912257608,259537.310368286,882208.6024774669,409858.16341010184,371397.477697677,826462.3590470429,1607718.0001548217
BAU,Business-as-Usual,UPPER,2023,483454.592581267,922205.5148129466,1002339.3031199591,1055711.97572588,130560.182965799,407853.18491410674,0.0,0.0,0.0,0.0,224197.081702811,667633.081418364,457570.927978809,278456.005377327,877016.1436284415,434384.42494575656,400115.734451205,864973.7703665909,1699473.9297635525
BAU,Business-as-Usual,UPPER,2024,478726.021618528,918409.3897150485,992769.0192432599,1122128.80111037,130114.431022801,409049.0444228219,0.0,0.0,0.0,0.0,222459.189572935,706397.852701657,488457.902931089,297777.606118513,871979.6308738636,458813.77422202873,428685.263808202,903534.871463508,1791033.9094937388
BAU,Business-as-Usual,UPPER,2025,474213.749967639,914951.9141447385,983648.759303713,1187916.43435694,129715.857318122,406049.00454535516,0.0,0.0,0.0,0.0,219504.945607754,744863.278498844,519019.280300326,317553.242503141,862787.8521472632,482958.6150665607,456939.912124684,940291.7649549451,1880190.2921461898
BAU,Business-as-Usual,UPPER,2026,477321.785582253,926138.8658943065,990261.20158643,1272895.00366145,131389.001960256,410952.8571225285,0.0,0.0,0.0,0.0,220709.43447262,795376.985282043,557919.863881898,342446.543447693,868730.5561030073,514862.2310467417,492506.06318389,992683.158830316,2000051.4530609478
BAU,Business-as-Usual,UPPER,2027,480545.157493696,937664.2723640538,997190.3002421131,1359347.16527169,133116.094123569,416023.9887968382,0.0,0.0,0.0,0.0,222033.286396903,846852.043633287,597490.995191896,367782.489424302,875065.9496744229,547393.014272614,528696.712400336,1046152.4388802189,2122242.1655531693
BAU,Business-as-Usual,UPPER,2028,484244.008336176,950180.0788778202,1005105.033395353,1448410.31850168,134984.869473084,421524.94101351604,0.0,0.0,0.0,0.0,223570.947230191,899962.944360752,638210.053470337,393856.144454673,882255.0568363345,580933.7817091786,565912.468085224,1101457.29340282,2248303.5431972225
BAU,Business-as-Usual,UPPER,2029,487943.379150672,962760.9814698338,1013028.390646697,1538740.76878497,136864.418725576,427053.3648976836,0.0,0.0,0.0,0.0,225110.287944169,953877.710914348,679489.183002446,420306.131425331,889458.5998479073,614952.8408105253,603636.17928799,1157576.856698912,2376165.8767974274
