scenario,label,variant,year,generation_from_econs_flow_t,generation_from_flow42_t,waste_generated_total_t,generation_from_econs_flow_Mt,generation_from_flow42_Mt,waste_generated_total_Mt,flow42_minus_econs_t
CDS,Collection & Disposal,LOWER,2036,2799076.82415882,2799618.38225,2295561.123248715,2.7990768241588198,2.79961838225,2.295561123248715,541.5580911799334
CDS,Collection & Disposal,LOWER,2037,2906361.02601178,2906904.95336,2368554.069414816,2.90636102601178,2.90690495336,2.3685540694148157,543.9273482202552
CDS,Collection & Disposal,LOWER,2038,3014087.97394828,3014634.14532,2440838.122990179,3.0140879739482798,3.01463414532,2.4408381229901788,546.1713717202656
CDS,Collection & Disposal,LOWER,2039,3124213.87595848,3124772.26022,2513978.724650205,3.12421387595848,3.12477226022,2.513978724650205,558.3842615201138
CDS,Collection & Disposal,LOWER,2040,3234792.55190615,3235353.18113,2586381.284970632,3.23479255190615,3.23535318113,2.586381284970632,560.62922385009
CDS,Collection & Disposal,LOWER,2041,3348105.12828856,3348679.67718001,2659849.128933554,3.34810512828856,3.34867967718001,2.659849128933554,574.5488914498128
CDS,Collection & Disposal,LOWER,2042,3462149.32276047,3462727.52882,2732757.8254654002,3.46214932276047,3.4627275288200003,2.7327578254654004,578.2060595299117
CDS,Collection & Disposal,LOWER,2043,3578841.53946772,3579433.22039,2806596.9181746542,3.57884153946772,3.57943322039,2.8065969181746544,591.6809222800657
CDS,Collection & Disposal,LOWER,2044,3698253.30874649,3698858.779,2881379.5545144747,3.69825330874649,3.698858779,2.8813795545144747,605.470253509935
CDS,Collection & Disposal,UPPER,2020,1330509.33536132,1330384.192,1481069.915598742,1.33050933536132,1.3303841920000001,1.481069915598742,-125.14336132002063
CDS,Collection & Disposal,UPPER,2021,1382920.38135842,1383185.5455,1534392.957218607,1.38292038135842,1.3831855455,1.534392957218607,265.1641415799968
CDS,Collection & Disposal,UPPER,2022,1523754.8153681,1524464.073,1685788.251250837,1.5237548153681,1.524464073,1.685788251250837,709.2576319000218
CDS,Collection & Disposal,UPPER,2023,1585760.26918809,1586069.6575,1749768.742299441,1.58576026918809,1.5860696575,1.749768742299441,309.38831190997735
CDS,Collection & Disposal,UPPER,2024,1648527.1974418,1648842.458,1814644.174525871,1.6485271974418,1.648842458,1.814644174525871,315.2605582000688
CDS,Collection & Disposal,UPPER,2025,1710877.25455619,1711190.39626,1920379.173752082,1.7108772545561899,1.7111903962600001,1.9203791737520821,313.14170381007716
CDS,Collection & Disposal,UPPER,2026,1800844.29354387,1801296.78572,2031271.082821293,1.80084429354387,1.80129678572,2.031271082821293,452.49217612994835
CDS,Collection & Disposal,UPPER,2027,1892405.58885709,1892865.441,2144846.082122947,1.89240558885709,1.892865441,2.144846082122947,459.8521429100074
CDS,Collection & Disposal,UPPER,2028,1987125.56086341,1987601.33208,2262912.148713131,1.98712556086341,1.9876013320800001,2.262912148713131,475.7712165901903
CDS,Collection & Disposal,UPPER,2029,2083129.30969417,2083611.4984,2381422.114562508,2.08312930969417,2.0836114984,2.381422114562508,482.1887058299035
CDS,Collection & Disposal,UPPER,2030,2180280.64269337,2180768.61004,2504102.673740354,2.1802806426933703,2.1807686100400003,2.504102673740354,487.9673466300592
CDS,Collection & Disposal,UPPER,2031,2280243.50675916,2280745.65174,2630981.014142651,2.28024350675916,2.28074565174,2.6309810141426513,502.1449808399193
CDS,Collection & Disposal,UPPER,2032,2380897.69934692,2381403.28272,2759644.73013374,2.38089769934692,2.38140328272,2.7596447301337403,505.58337308000773
CDS,Collection & Disposal,UPPER,2033,2484136.09057975,2484654.7176,2892309.63372424,2.48413609057975,2.4846547176000002,2.89230963372424,518.6270202500746
CDS,Collection & Disposal,UPPER,2034,2587988.71820914,2588510.40108,3026713.4063806003,2.58798871820914,2.58851040108,3.0267134063806003,521.6828708602116
CDS,Collection & Disposal,UPPER,2035,2692275.25428187,2692799.1336,3162654.85521395,2.69227525428187,2.6927991336,3.1626548552139497,523.8793181297369
CDS,Collection & Disposal,UPPER,2036,2799081.7756007,2799618.38225,3302603.20461125,2.7990817756007003,2.79961838225,3.30260320461125,536.6066492996179
CDS,Collection & Disposal,UPPER,2037,2906365.97758714,2906904.95336,3444178.6624391503,2.90636597758714,2.90690495336,3.44417866243915,538.9757728599943
CDS,Collection & Disposal,UPPER,2038,3014092.92437266,3014634.14532,3587348.50225435,3.01409292437266,3.01463414532,3.58734850225435,541.2209473401308
CDS,Collection & Disposal,UPPER,2039,3124218.92111246,3124772.26022,3734459.9089328274,3.12421892111246,3.12477226022,3.7344599089328274,553.3391075399704
CDS,Collection & Disposal,UPPER,2040,3234797.59535446,3235353.18113,3883214.696828901,3.2347975953544603,3.23535318113,3.883214696828901,555.5857755397446
CDS,Collection & Disposal,UPPER,2041,3348110.28183108,3348679.67718001,4036372.2430880642,3.34811028183108,3.34867967718001,4.036372243088064,569.3953489298001
CDS,Collection & Disposal,UPPER,2042,3462154.4874681,3462727.52882,4191551.959581553,3.4621544874681,3.4627275288200003,4.191551959581553,573.0413518999703
CDS,Collection & Disposal,UPPER,2043,3578846.80883927,3579433.22039,4351097.526031641,3.5788468088392698,3.57943322039,4.351097526031642,586.4115507300012
CDS,Collection & Disposal,UPPER,2044,3698258.68499498,3698858.779,4515138.658767303,3.6982586849949803,3.698858779,4.515138658767303,600.0940050198697
RES,Recycling,CENTRAL,2020,1330384.192,1330384.192,1330384.1919999989,1.3303841920000001,1.3303841920000001,1.3303841919999988,0.0
RES,Recycling,CENTRAL,2021,1382917.85029996,1383185.5455,1382917.8502999619,1.38291785029996,1.3831855455,1.382917850299962,267.69520004000515
RES,Recycling,CENTRAL,2022,1523747.8113644,1524464.073,1523747.811364399,1.5237478113644,1.524464073,1.523747811364399,716.2616356001236
RES,Recycling,CENTRAL,2023,1585757.32612571,1586069.6575,1585757.326125707,1.58575732612571,1.5860696575,1.585757326125707,312.3313742899336
RES,Recycling,CENTRAL,2024,1648524.20900952,1648842.458,1648524.209009517,1.64852420900952,1.648842458,1.648524209009517,318.24899048008956
RES,Recycling,CENTRAL,2025,1710874.30126047,1711190.39626,1710874.301260469,1.71087430126047,1.7111903962600001,1.710874301260469,316.0949995301198
