scenario,label,variant,year,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t,leakage_avoided_vs_BAU_t,required_investment_usd,required_investment_pv_3_5_usd,opex_usd,capex_usd,revenue_usd,net_annual_cost_usd,ghg_total,jobs_total,investment_per_t_avoided_usd
BAU,Business-as-Usual,LOWER,2033,274316.8899409404,164883.697219989,709128.5720614728,1148329.1592224021,0.0,1155463122.099831,738807918.8354404,3754428427.923574,1251688934.5768368,674593235.7486097,4331524126.7518015,12065050.43518834,80844.89966742916,
BAU,Business-as-Usual,LOWER,2034,287492.5766697927,176711.428682191,743198.0916345924,1207402.096986576,0.0,1162229469.7866547,718004202.5571082,3848187184.4777594,1305695018.749673,677765083.7320563,4476117119.495376,12551276.972107423,81651.59658803545,
BAU,Business-as-Usual,LOWER,2035,300737.8377150682,188582.603744292,777469.1482385607,1266789.5896979207,0.0,1167082661.428657,696620691.7664349,4066139195.63181,1333491155.0062692,683124299.1422619,4716506051.495818,13115287.229063073,85296.42907993296,
BAU,Business-as-Usual,LOWER,2036,314281.5893236,200636.721033191,811855.4289002271,1326773.739257018,0.0,1195387480.7146313,689387026.9179744,4247031228.044575,1373700501.5600903,689722771.9658709,4931008957.638795,13558282.029939832,86298.46425125863,
BAU,Business-as-Usual,LOWER,2037,327898.89146523067,212727.737358444,846417.433371742,1387044.0621954165,0.0,1200628662.1174755,668994828.2293375,4358517935.9266205,1481025620.1154637,702989350.5570827,5136554205.485001,14136407.22321471,87529.64798182576,
BAU,Business-as-Usual,LOWER,2038,341581.6130324779,224844.402695241,881162.7344900419,1447588.750217761,0.0,1205595361.2013159,649045692.4929156,4667818869.587747,1442808116.6430342,711044128.3735416,5399582857.857239,14552543.61468289,88765.32270447974,
BAU,Business-as-Usual,LOWER,2039,355548.5764693661,237127.141208611,916656.6040823858,1509332.321760363,0.0,1232550982.464066,641118407.220499,4484120740.182575,1531383282.5016632,718701691.407964,5296802331.276275,15159886.214485321,92606.87845119853,
BAU,Business-as-Usual,LOWER,2040,369582.23729878943,249428.495143049,952331.8645398847,1571342.596981723,0.0,1237525429.86346,621938062.1660131,4992221755.325439,1588713952.697999,729754065.1495152,5851181642.873923,15547237.416325785,94028.7244595867,
BAU,Business-as-Usual,LOWER,2041,383938.32312282966,261918.68782611,988851.8387025583,1634708.849651498,0.0,1268251973.8610797,615826255.9668653,5149324538.323568,1708063338.2357075,748566213.0850155,6108821663.47426,16092569.947009604,94264.90143112018,
BAU,Business-as-Usual,LOWER,2042,398391.8816831393,274442.183016715,1025629.2252560137,1698463.289955868,0.0,1276347385.3430595,598799180.8975567,5310607938.157501,1671107953.3917804,742496102.9744749,6239219788.574807,16808589.706802096,98541.34672623102,
BAU,Business-as-Usual,LOWER,2043,413158.73815716384,287144.51109443,1063222.5941808745,1763525.8434324684,0.0,1306101153.929528,592036889.0794865,5390542095.224495,1745708233.1354673,768350856.3730564,6367899471.986906,17123759.227960188,100817.00331901303,
BAU,Business-as-Usual,LOWER,2044,428249.9403171886,300032.829415401,1101656.2293219117,1829938.9990545013,0.0,1336552292.9378686,585352611.5151086,5458368827.071959,1817011365.2198591,775116156.4596272,6500264035.8321905,17778598.777191643,103535.32820177515,
BAU,Business-as-Usual,UPPER,2020,343873.65699802234,299193.357708311,714504.558481463,1357571.5731877964,0.0,0.0,0.0,2857768475.661724,883691875.3753605,692998358.9734578,3048461992.063627,7629638.36047512,75868.78516121636,
BAU,Business-as-Usual,UPPER,2021,364930.5610162225,324197.001360266,749023.334862483,1438150.8972389714,0.0,595972945.3827039,575819270.9011632,2880923277.163815,939389882.8268298,691396372.0796373,3128916787.911008,7948733.201076465,78459.86417312532,
BAU,Business-as-Usual,UPPER,2022,409858.16341010184,371397.477697677,826462.3590470429,1607718.0001548217,0.0,1584958627.1364076,1479575838.0698805,3175992058.452326,1036170652.6020982,731140700.1169354,3481022010.937489,8876175.071373912,80998.09150524733,
BAU,Business-as-Usual,UPPER,2023,434384.42494575656,400115.734451205,864973.7703665909,1699473.9297635525,0.0,692838749.257964,624900856.0973766,3302618809.8896303,1071355205.4828074,739919793.643438,3634054221.7289996,9100214.621235922,81077.35652076465,
BAU,Business-as-Usual,UPPER,2024,458813.77422202873,428685.263808202,903534.871463508,1791033.9094937388,0.0,705334410.5822351,614658190.0302424,3487512214.909295,1102879917.8608243,725875299.055214,3864516833.7149057,9410150.825179165,82249.61437436362,
BAU,Business-as-Usual,UPPER,2025,482958.6150665607,456939.912124684,940291.7649549451,1880190.2921461898,0.0,700299447.9237461,589633343.9176327,3519615312.5059867,1140371819.6324897,725815542.0938703,3934171590.044606,9757312.55783298,80492.0549237795,
BAU,Business-as-Usual,UPPER,2026,514862.2310467417,492506.06318389,992683.158830316,2000051.4530609478,0.0,1005609659.014598,818064105.5304753,3748776892.1931586,1177273733.6603274,749167067.852772,4176883558.0007143,10309524.28395088,83469.05868360464,
BAU,Business-as-Usual,UPPER,2027,547393.014272614,528696.712400336,1046152.4388802189,2122242.1655531693,0.0,1027357337.2737966,807493580.4894019,3897796864.9294944,1247866427.7288435,755131339.520312,4390531953.138025,10731160.531438364,86977.69321364597,
BAU,Business-as-Usual,UPPER,2028,580933.7817091786,565912.468085224,1101457.29340282,2248303.5431972225,0.0,1062925152.8356044,807197644.4562824,4107719836.1013474,1324105843.1278143,787277807.8665276,4644547871.362635,11393798.965943493,89134.97097415653,
BAU,Business-as-Usual,UPPER,2029,614952.8408105253,603636.17928799,1157576.856698912,2376165.8767974274,0.0,1077165378.4378498,790349600.330197,4340304070.433407,1377179203.2203214,811601170.42958,4905882103.224149,11835903.34058064,90331.00676965027,
BAU,Business-as-Usual,UPPER,2030,649400.4851904496,641815.193627921,1214427.400222647,2505643.0790410177,0.0,1090467934.93079,773053234.8196807,4422678841.907572,1456962126.2122657,830292357.3083358,5049348610.811502,12438554.354592016,93850.92727019206,
BAU,Business-as-Usual,UPPER,2031,684766.9356795589,680932.650152815,1272927.5292751621,2638627.1151075363,0.0,1122374326.7585196,768765484.312999,4641053349.100429,1518029566.2617495,848329322.9760185,5310753592.386159,12884282.016896844,96386.49569833044,
BAU,Business-as-Usual,UPPER,2032,720428.8137097821,720365.783206415,1332009.959546934,2772804.556463131,0.0,1129939865.7717402,747775331.2387979,4757108423.146388,1569464403.570392,862057670.2943751,5464515156.422404,13453665.837363252,98200.6096839866,
BAU,Business-as-Usual,UPPER,2033,756946.5710543116,760675.257688661,1393248.1631050808,2910869.9918480534,0.0,1159099392.1605253,741132965.0134465,5006485809.8501425,1665820476.280973,890871556.4708936,5781434729.660221,13989250.894487021,101178.98335482266,
